episode_id,repo,edit_distance_writes,semantic_ratio,investment_tokens,requested_condition,selected_condition,seed,payload_tokens,correct_action,action,action_correct,recovery_success,accepted_write,touched_tests_pass,repeat_refusal,recovery_tokens,model_prompt_tokens,model_completion_tokens,recovery_tool_calls,policy_action,policy_action_correct,policy_prompt_tokens,policy_completion_tokens,policy_wall_clock_seconds,policy_source,payload_action,payload_action_correct,deferred_to_payload,receiver_context_target_tokens,receiver_trajectory_tokens,refusal_position,payload_context_ratio,notes
capped_advance-abandon-k8,rebuilt-action-crossed-corpus,8,1.0,2030,P1,P1,13,231,abandon,abandon,True,True,False,True,False,8581,8538,43,0,,,0,0,0.0,,,,,8000,8000,tail,0.027055516514406183,The current file already implements the optional maximum parameter as required by the task.
capped_advance-abandon-k8,rebuilt-action-crossed-corpus,8,1.0,2030,P1,P1,14,231,abandon,abandon,True,True,False,True,False,8581,8538,43,0,,,0,0,0.0,,,,,8000,8000,tail,0.027055516514406183,The current file already implements the optional maximum parameter as required by the task.
capped_advance-abandon-k8,rebuilt-action-crossed-corpus,8,1.0,2030,P1,P1,15,231,abandon,adapt,False,False,True,False,False,8647,8538,109,0,,,0,0,0.0,,,,,8000,8000,tail,0.027055516514406183,The previous edit was rejected due to a complex ternary logic; this version uses a clear if-statement to preserve the public contract and existing invariant.
capped_advance-adapt-k8,rebuilt-action-crossed-corpus,8,1.0,2030,P1,P1,13,201,adapt,adapt,True,True,True,True,False,8607,8508,99,0,,,0,0,0.0,,,,,8000,8000,tail,0.02362482369534556,The file was updated to support the required 'maximum' parameter while preserving the existing revision constant and positive/negative step behavior.
capped_advance-adapt-k8,rebuilt-action-crossed-corpus,8,1.0,2030,P1,P1,14,201,adapt,adapt,True,True,True,True,False,8620,8508,112,0,,,0,0,0.0,,,,,8000,8000,tail,0.02362482369534556,"The current file implements a minimum clamp, but the task requires a maximum clamp; I am rebasing the edit to use `maximum` and `min` while preserving the existing revision constant."
capped_advance-adapt-k8,rebuilt-action-crossed-corpus,8,1.0,2030,P1,P1,15,201,adapt,adapt,True,True,True,True,False,8613,8508,105,0,,,0,0,0.0,,,,,8000,8000,tail,0.02362482369534556,"The current file implements a minimum constraint, but the task requires a maximum constraint, so I am rebasing the edit to use min and the maximum parameter."
capped_advance-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2030,P1,P1,13,219,escalate,abandon,False,False,False,False,False,8574,8526,48,0,,,0,0,0.0,,,,,8000,8000,tail,0.025686136523574946,"The current file already implements the requested optional maximum parameter and preserves the existing behavior, fulfilling the task."
capped_advance-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2030,P1,P1,14,219,escalate,escalate,True,True,False,True,False,8575,8526,49,0,,,0,0,0.0,,,,,8000,8000,tail,0.025686136523574946,"The current file implements subtraction instead of addition, violating the public invariant to preserve ordinary positive and negative steps."
capped_advance-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2030,P1,P1,15,219,escalate,escalate,True,True,False,True,False,8576,8526,50,0,,,0,0,0.0,,,,,8000,8000,tail,0.025686136523574946,"The current file implements subtraction instead of addition, violating the task's requirement to preserve ordinary positive and negative steps."
casefold_lookup-abandon-k8,rebuilt-action-crossed-corpus,8,1.0,2050,P1,P1,13,278,abandon,abandon,True,True,False,True,False,8663,8613,50,0,,,0,0,0.0,,,,,8000,8000,tail,0.032276790897480555,"The current file already implements the required case-insensitive lookup with exact lookup as the default, fulfilling the task."
